typ,modell,score,preis,link,bild_url
cpu,Intel Core i3-12100F,14000,95,https://www.amazon.de/s?k=intel+i3+12100f,https://upload.wikimedia.org/wikipedia/en/5/5b/Intel_Core_i3_%2812th_Gen%29_logo.png
cpu,Intel Core i5-13600K,38000,320,https://www.amazon.de/s?k=intel+i5+13600k,https://upload.wikimedia.org/wikipedia/en/e/e0/Intel_Core_i5_%2813th_Gen%29_logo.png
cpu,Intel Core i9-14900K,62000,600,https://www.amazon.de/s?k=intel+i9+14900k,https://upload.wikimedia.org/wikipedia/en/7/77/Intel_Core_i9_%2814th_Gen%29_logo.png
cpu,AMD Ryzen 5 5600,22000,130,https://www.amazon.de/s?k=ryzen+5+5600,https://upload.wikimedia.org/wikipedia/en/a/a2/AMD_Ryzen_5_logo_%282016%29.png
cpu,AMD Ryzen 7 7800X3D,45000,380,https://www.amazon.de/s?k=ryzen+7+7800x3d,https://upload.wikimedia.org/wikipedia/en/d/dc/AMD_Ryzen_7_logo_%282016%29.png
cpu,AMD Ryzen 9 7950X,64000,550,https://www.amazon.de/s?k=ryzen+9+7950x,https://upload.wikimedia.org/wikipedia/en/2/22/AMD_Ryzen_9_logo_%282016%29.png
gpu,NVIDIA RTX 3060,17000,280,https://www.amazon.de/s?k=rtx+3060,https://upload.wikimedia.org/wikipedia/en/3/36/GeForce_RTX_logo.png
gpu,NVIDIA RTX 4060 Ti,22000,390,https://www.amazon.de/s?k=rtx+4060+ti,https://upload.wikimedia.org/wikipedia/en/3/36/GeForce_RTX_logo.png
gpu,NVIDIA RTX 4070,30000,550,https://www.amazon.de/s?k=rtx+4070,https://upload.wikimedia.org/wikipedia/en/3/36/GeForce_RTX_logo.png
gpu,NVIDIA RTX 4080 Super,48000,1100,https://www.amazon.de/s?k=rtx+4080+super,https://upload.wikimedia.org/wikipedia/en/3/36/GeForce_RTX_logo.png
gpu,NVIDIA RTX 4090,68000,1800,https://www.amazon.de/s?k=rtx+4090,https://upload.wikimedia.org/wikipedia/en/3/36/GeForce_RTX_logo.png
gpu,AMD Radeon RX 7600,19000,270,https://www.amazon.de/s?k=rx+7600,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Radeon_logo.svg/2560px-Radeon_logo.svg.png
gpu,AMD Radeon RX 7800 XT,32000,530,https://www.amazon.de/s?k=rx+7800+xt,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Radeon_logo.svg/2560px-Radeon_logo.svg.png
gpu,AMD Radeon RX 7900 XTX,52000,980,https://www.amazon.de/s?k=rx+7900+xtx,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Radeon_logo.svg/2560px-Radeon_logo.svg.png
